uniqid,lat,long,timestamp
325,32.439,-81.7625,11/6/17 23:03
326,33.6432,-117.596,11/6/17 22:44
327,34.9748,-81.8791,11/6/17 21:28
328,36.4322,-84.9337,11/6/17 21:18
329,30.6486,-97.6781,11/6/17 20:48
330,39.8616,-85.9731,11/6/17 20:43
331,40.1594,-89.3876,11/6/17 20:25
332,37.7018,-85.8678,11/6/17 20:01
333,32.6893,-117.045,11/6/17 19:22
334,37.0869,-88.0863,11/6/17 19:09
335,31.0909,-97.3888,11/6/17 18:38
336,43.0902,-78.9694,11/6/17 18:08
337,40.4588,-79.9185,11/6/17 18:07
338,30.3369,-97.6935,11/6/17 18:05
339,44.3118,-96.778,11/6/17 17:59
340,35.1036,-80.9855,11/6/17 17:46
341,41.1125,-88.4123,11/6/17 17:44
342,36.8807,-87.7383,11/6/17 17:33
343,33.8561,-117.919,11/6/17 17:15
344,44.8315,-89.1695,11/6/17 13:49
345,37.0892,-89.5416,11/6/17 17:09
346,34.9596,-89.9361,11/6/17 10:30
347,37.7314,-85.8863,11/6/17 16:35
348,34.7545,-82.2668,11/6/17 16:31
349,30.5425,-87.7082,11/6/17 15:46
350,37.1395,-83.7689,11/6/17 15:07
351,41.122,-100.763,11/6/17 4:56
352,33.6605,-117.3,11/6/17 14:39
353,43.8866,-89.4845,11/6/17 14:33
354,33.8059,-118.354,11/6/17 14:25
355,42.9974,-87.8985,11/6/17 14:21
356,39.006,-87.7548,11/6/17 14:18
357,31.9384,-106.408,11/6/17 14:01
358,35.1153,-85.2545,11/6/17 13:54
359,40.5287,-80.0082,11/6/17 13:37
360,32.8994,-97.546,11/6/17 13:29
361,29.8842,-95.6441,11/6/17 12:52
362,38.2902,-85.511,11/6/17 12:42
363,35.1087,-106.578,11/6/17 12:37
364,35.3337,-80.7975,11/6/17 12:08
365,38.2283,-85.5783,11/6/17 11:48
366,30.4849,-90.4573,11/6/17 11:24
367,35.8021,-83.9435,11/6/17 11:03
368,38.8006,-90.3351,11/6/17 11:03
369,30.6659,-96.3273,11/6/17 10:59
370,30.4615,-87.3017,11/6/17 10:49
371,41.2334,-96.1405,11/6/17 10:41
372,31.2166,-81.5192,11/6/17 10:36
373,36.0572,-79.6608,11/6/17 10:34
374,30.6221,-96.3419,11/6/17 10:17
375,35.2011,-84.8449,11/6/17 9:29
376,40.83,-77.8041,11/6/17 7:30
377,40.3317,-79.9454,11/6/17 7:06
378,36.1561,-86.7876,11/6/17 6:54
379,32.7475,-116.961,11/5/17 23:20
380,36.3977,-83.0154,11/5/17 22:25
381,41.2301,-85.8006,11/5/17 18:55
382,33.5194,-101.958,11/5/17 17:32
383,34.9669,-81.9296,11/5/17 16:51
384,36.9146,-81.273,11/5/17 16:43
385,33.984,-118.098,11/5/17 16:14
386,38.0833,-85.6684,11/5/17 15:53
387,39.7126,-86.12,11/5/17 14:40
388,33.8444,-118.387,11/5/17 14:33
389,33.1284,-96.7338,11/5/17 13:39
390,40.4869,-79.8897,11/5/17 13:22
391,39.8563,-86.392,11/5/17 13:22
392,38.9374,-92.7444,11/5/17 12:41
393,34.8689,-85.5142,11/5/17 12:39
394,39.4773,-80.1205,11/5/17 12:34
395,33.9812,-118.439,11/5/17 12:17
396,42.9588,-87.9132,11/5/17 12:11
397,26.2482,-98.4754,11/5/17 12:10
398,32.5328,-93.6722,11/5/17 11:14
399,32.5542,-84.9467,11/5/17 11:13
400,29.9092,-95.5842,11/5/17 11:09
401,46.2891,-96.1102,11/5/17 11:00
402,38.941,-80.819,11/5/17 10:10
403,38.2186,-91.1628,11/5/17 9:47
404,40.5353,-78.4021,11/5/17 9:33
405,34.8598,-82.2691,11/5/17 9:30
406,34.6434,-79.0099,11/4/17 22:31
407,37.0784,-94.477,11/4/17 22:21
408,44.0219,-92.4856,11/4/17 21:55
409,44.9004,-91.9325,11/4/17 21:49
410,34.033,-118.184,11/4/17 20:28
411,30.4826,-97.8314,11/4/17 20:02
412,28.1221,-80.6391,11/4/17 19:49
413,36.1085,-79.464,11/4/17 19:21
414,29.0142,-81.0002,11/4/17 18:40
415,30.4826,-97.8314,11/4/17 17:49
416,41.678,-91.5666,11/4/17 17:29
417,34.2588,-118.536,11/4/17 16:17
418,30.5602,-97.8457,11/4/17 15:07
419,41.6013,-93.6266,11/4/17 14:46
420,33.1995,-96.7065,11/4/17 14:22
421,33.8194,-116.459,11/4/17 14:10
422,29.3801,-100.904,11/4/17 14:06
423,28.4796,-80.7705,11/4/17 13:47
424,42.2698,-89.0004,11/4/17 13:06
425,37.7235,-97.2436,11/4/17 13:06
426,34.1636,-118.827,11/4/17 12:19
427,35.8152,-83.981,11/4/17 11:42
428,44.3714,-100.361,11/4/17 11:42
429,40.7852,-77.83,11/4/17 10:55
430,39.2086,-94.5766,11/4/17 10:53
431,32.4199,-86.2315,11/4/17 10:51
432,29.5296,-98.5619,11/4/17 10:26
433,42.1235,-88.3362,11/4/17 10:22
434,43.2907,-91.7968,11/4/17 10:21
435,38.503,-89.9821,11/4/17 9:16
436,32.0676,-82.8979,11/4/17 8:18
437,28.3718,-81.3663,11/4/17 7:11
438,36.1214,-80.3685,11/4/17 6:23
439,35.3732,-86.2213,11/3/17 21:20
440,34.7918,-84.9615,11/3/17 21:10
441,41.0276,-80.3534,11/3/17 20:59
442,29.3571,-98.528,11/3/17 19:50
443,34.0344,-117.071,11/3/17 19:32
444,38.7309,-88.0793,11/3/17 19:23
445,39.1397,-88.5659,11/3/17 19:06
446,41.2961,-89.0785,11/3/17 14:54
447,33.6708,-117.789,11/3/17 18:53
448,33.9048,-117.473,11/3/17 18:35
449,30.4125,-97.6905,11/3/17 18:32
450,39.2456,-94.6598,11/3/17 18:26
451,40.7289,-99.0814,11/3/17 17:57
452,32.8446,-85.1813,11/3/17 10:21
453,27.6784,-97.3684,11/3/17 17:49
454,34.9916,-86.8406,11/3/17 17:32
455,32.4744,-96.9787,11/3/17 17:14
456,42.1728,-91.7775,11/3/17 16:57
457,29.6155,-98.6046,11/3/17 16:17
458,39.4731,-80.1526,11/3/17 16:11
459,34.4711,-117.343,11/3/17 12:49
460,30.442,-86.5803,11/3/17 11:03
461,40.5179,-80.1631,11/3/17 15:53
462,44.7774,-91.4331,11/3/17 9:07
463,32.4721,-84.9871,11/3/17 15:41
464,38.7726,-90.4915,11/3/17 14:49
465,33.616,-117.708,11/3/17 12:50
466,29.8077,-91.5081,11/3/17 14:45
467,42.7306,-78.8263,11/3/17 14:35
468,36.8438,-81.5013,11/3/17 14:21
469,32.8332,-117.202,11/3/17 14:05
470,33.7875,-118.029,11/3/17 13:48
471,30.1912,-97.7688,11/3/17 13:11
472,34.1674,-118.323,11/3/17 12:58
473,36.1796,-82.7744,11/3/17 12:54
474,32.7548,-117.139,11/3/17 12:47
475,30.0415,-95.4886,11/3/17 12:34
476,32.4386,-104.255,11/3/17 12:33
477,29.8679,-97.9383,11/3/17 10:40
478,33.151,-96.8033,11/3/17 11:56
