Zip/ZCTA,2010 Population,Land-Sq-Mi,Density Per Sq Mile
95019,7727,1.214,6364.90939
70065,51116,8.031,6364.836259
7027,4226,0.664,6364.457831
94030,21536,3.387,6358.429288
90064,25403,4,6350.75
41073,5955,0.938,6348.614072
30118,2373,0.374,6344.919786
93726,40705,6.417,6343.306841
91406,51558,8.132,6340.137727
93305,37601,5.934,6336.535221
68105,23842,3.763,6335.902206
70001,37996,5.999,6333.722287
90505,36678,5.795,6329.249353
48021,32353,5.117,6322.64999
94306,26469,4.187,6321.710055
7410,32457,5.139,6315.820198
22205,17087,2.707,6312.153676
8618,38229,6.061,6307.375021
64123,10387,1.647,6306.618094
91324,27669,4.391,6301.29811
33062,23948,3.802,6298.79011
18018,32413,5.153,6290.122259
33026,28498,4.531,6289.560803
77035,35896,5.71,6286.514886
98133,44555,7.095,6279.774489
2911,15574,2.481,6277.307537
63111,20313,3.237,6275.254866
60534,10649,1.698,6271.495878
95823,73985,11.804,6267.790579
15014,3184,0.508,6267.716535
23510,7031,1.122,6266.488414
55419,26406,4.214,6266.255339
94804,38559,6.167,6252.472839
60469,5930,0.949,6248.682824
76010,55706,8.917,6247.16833
60076,33415,5.354,6241.128129
10314,85510,13.704,6239.784005
33065,51921,8.323,6238.255437
48072,14970,2.402,6232.306411
33183,35949,5.769,6231.409256
6902,63406,10.177,6230.323278
90638,49012,7.869,6228.491549
21211,17351,2.787,6225.690707
55103,12991,2.087,6224.724485
94080,63975,10.285,6220.223627
7013,27051,4.35,6218.62069
55812,10924,1.757,6217.41605
30021,21989,3.537,6216.850438
16504,17322,2.787,6215.285253
92630,59182,9.524,6213.98572
2136,28488,4.59,6206.535948
28202,11195,1.804,6205.654102
66045,2023,0.326,6205.521472
33308,28217,4.548,6204.265611
91910,75802,12.234,6196.011117
60139,34381,5.551,6193.6588
80209,21526,3.483,6180.304335
70125,14479,2.343,6179.684166
90732,21115,3.42,6173.976608
33311,63786,10.347,6164.685416
77009,38094,6.18,6164.07767
92708,56004,9.09,6161.056106
79406,6025,0.978,6160.531697
63112,20368,3.308,6157.19468
48210,31017,5.042,6151.725506
60415,14139,2.299,6150.065246
97216,15594,2.536,6149.053628
85204,60885,9.905,6146.895507
95355,58311,9.489,6145.115397
19013,35130,5.723,6138.388957
90603,20063,3.269,6137.350872
2169,55055,8.971,6136.99699
7661,11340,1.848,6136.363636
7083,53053,8.649,6134.003931
91007,34095,5.559,6133.297356
60604,570,0.093,6129.032258
75246,2770,0.452,6128.318584
97202,38762,6.337,6116.774499
90402,12250,2.004,6112.774451
97232,11472,1.877,6111.880661
92405,28873,4.726,6109.394837
91505,30778,5.04,6106.746032
2910,21000,3.441,6102.877071
11554,38132,6.249,6102.096335
43210,9432,1.546,6100.905563
55412,22148,3.632,6098.017621
77025,26137,4.287,6096.804292
55106,52730,8.655,6092.43212
94085,21247,3.491,6086.221713
55415,2604,0.428,6084.11215
93433,13162,2.164,6082.255083
89117,55416,9.124,6073.651907
33415,44963,7.403,6073.618803
90802,39347,6.483,6069.25806
60617,84155,13.871,6066.974263
70006,15703,2.589,6065.276168
79903,18451,3.043,6063.424252
2458,12131,2.002,6059.440559
10927,11910,1.966,6057.985758
48228,52130,8.61,6054.587689
44108,25679,4.243,6052.085788
95202,6521,1.078,6049.165121
85302,36909,6.102,6048.672566
13210,27606,4.566,6045.992116
68131,12302,2.036,6042.239686
91977,58368,9.661,6041.610599
61606,8051,1.334,6035.232384
14207,23552,3.903,6034.332565
60513,19047,3.157,6033.259424
92376,81516,13.514,6031.966849
48227,45380,7.531,6025.760191
92109,45787,7.601,6023.812656
50311,15113,2.512,6016.321656
2903,10780,1.793,6012.269939
92410,49410,8.22,6010.948905
7031,15392,2.561,6010.152284
8106,9874,1.643,6009.738284
14611,17396,2.895,6008.981002
33334,28749,4.787,6005.640276
11783,21288,3.546,6003.384095
78751,14385,2.397,6001.251564
80012,46665,7.778,5999.614297
64111,16318,2.722,5994.856723
15206,28615,4.776,5991.41541
77077,52151,8.716,5983.363928
98418,10069,1.683,5982.768865
20851,14191,2.373,5980.193847
63130,30084,5.036,5973.788721
45212,22253,3.727,5970.753958
23503,30856,5.171,5967.124347
20877,34321,5.756,5962.647672
6854,29100,4.882,5960.671856
11801,39553,6.636,5960.367691
92656,49046,8.229,5960.140965
94590,35420,5.944,5958.950202
33024,63916,10.738,5952.318868
60646,27177,4.572,5944.225722
89128,35669,6.001,5943.842693
20012,13414,2.257,5943.28755
76597,2882,0.485,5942.268041
85202,37275,6.273,5942.132951
40215,22287,3.751,5941.615569
33185,27189,4.578,5939.056356
33351,32890,5.538,5938.967136
33155,43788,7.38,5933.333333
47901,3518,0.593,5932.546374
85014,24782,4.18,5928.708134
99204,6681,1.127,5928.127773
44119,12482,2.107,5924.062648
78741,44935,7.591,5919.509946
19115,33207,5.614,5915.033844
95831,41321,6.987,5913.983111
15510,2229,0.377,5912.466844
