ZIP,INCOME
04947,50588
04949,33900
04950,38517
04951,40500
04952,46420
04953,40461
04954,40972
04955,46971
04956,37917
04957,47432
04958,46774
04961,40972
04962,64583
04963,48817
04964,41607
04965,42093
04966,40833
04967,46395
04969,51083
04970,45313
04971,51359
04972,50370
04973,48598
04974,33720
04975,
04976,32609
04978,58029
04979,52875
04981,50370
04982,40417
04983,34474
04984,37500
04985,
04986,43819
04987,36563
04988,40625
04989,54375
04992,
05001,59826
05009,59826
05030,48654
05031,60875
05032,54238
05033,50216
05034,74922
05035,52188
05036,59659
05037,74167
05038,49500
05039,53229
05040,65833
05041,63242
05042,56667
05043,65278
05045,63276
05046,49625
05047,59826
05048,52969
05049,52969
05050,
05051,50288
05052,51667
05053,103250
05054,65278
05055,105217
05056,55000
05058,55536
05059,80054
05060,46698
05061,60304
05062,50185
05065,64375
05067,80000
05068,48833
05069,67813
05070,85500
05071,
05072,69583
05073,52969
05074,63276
05075,84167
05076,48875
05077,57083
05079,55813
05081,27031
05083,35357
05084,57039
05085,50288
05086,44821
05088,59826
05089,48654
05091,75858
05101,38094
05141,
05142,48125
05143,47238
05146,50978
05148,59333
05149,45903
05150,16212
05151,56389
05152,71364
05153,49659
05154,38438
05155,40089
05156,47488
05158,48667
05159,48667
05161,66471
05201,43497
05250,55083
05251,72222
05252,52917
05253,81080
05254,85313
05255,43987
05257,61016
05260,69722
05261,56549
05262,63068
05301,50789
05302,50789
05303,50789
05304,50789
05340,50000
05341,50481
05342,50750
05343,52308
05344,50789
05345,53491
05346,56398
05350,35521
05351,53491
05352,62361
05353,61818
05354,59432
05355,42500
05356,42448
05357,50789
05358,59231
05359,55313
05360,68750
05361,53750
05362,95781
05363,52292
05401,41714
05402,41714
05403,66944
05404,49596
05405,
05406,41714
05407,66944
05408,65246
05439,
05440,55652
05441,64250
05442,52500
05443,64190
05444,67639
05445,123783
05446,67958
05447,32375
05448,69722
05449,67958
05450,53690
05451,74122
05452,74122
05453,74122
05454,73151
05455,80455
05456,64926
05457,67031
05458,64451
05459,47100
05460,55013
05461,60809
05462,78802
05463,49018
05464,69667
05465,94033
05466,74302
05468,73475
05469,64190
05470,42000
05471,42000
05472,66394
05473,76750
05474,71250
05476,47738
05477,74302
05478,52618
05479,52618
05481,
05482,98538
05483,66875
05485,58750
05486,76161
05487,65388
05488,55013
05489,93533
05490,93533
05491,61339
05492,64722
05494,86429
05495,76116
05501,134627
05544,134627
05601,62825
05602,62825
05603,62825
05604,62825
05609,62825
05620,62825
05633,62825
05640,
05641,46839
05647,40750
05648,72679
05649,79375
05650,63958
05651,58750
05652,54531
05653,42059
05654,41845
05655,54211
05656,37479
05657,101429
05658,51838
05660,76607
05661,46054
05662,61250
05663,70141
05664,
05665,54211
05666,63958
05667,54554
05669,50625
05670,46839
05671,60094
05672,61250
05673,73550
05674,63500
05675,53250
05676,60094
05677,82855
05678,
05679,58000
05680,56136
05681,88393
05682,54866
05701,43532
05702,43532
05730,63333
05731,41518
05732,49844
05733,52744
05734,63281
05735,57500
05736,34125
05737,59167
05738,66958
05739,60172
05740,
05741,44468
05742,64038
05743,41518
05744,55000
05745,52744
05746,54271
05747,51875
05748,48750
05750,57500
05751,60938
05753,54516
05757,52679
05758,63250
05759,54485
05760,57308
05761,52031
05762,58558
05763,54968
05764,44468
05765,56771
05766,52250
05767,46193
05768,57981
05769,57500
05770,71667
05772,54271
05773,51942
05774,49375
05775,34659
05776,57981
05777,58214
05778,51029
05819,46166
05820,37386
05821,61522
05822,36667
05823,41364
05824,47188
05825,62083
05826,56458
05827,47500
05828,55000
05829,39402
05830,50948
05832,59107
05833,56750
05836,54896
05837,42308
05838,46166
05839,44659
05840,48500
05841,63839
05842,45313
05843,41853
05845,38611
05846,35109
05847,57727
05848,46166
05849,40629
05850,
05851,40629
05853,37188
05855,41364
05857,55568
05858,48500
05859,41786
05860,45000
05861,46166
05862,49286
05863,46166
05866,44464
05867,49583
05868,39327
05871,47644
05872,38594
05873,56250
05874,52614
05875,58611
05901,45625
05902,30938
05903,46071
05904,20515
05905,40625
05906,40673
05907,47857
06001,122666
06002,74107
06006,82464
06010,61551
06011,61551
06013,117069
06016,83300
06018,73409
06019,87394
06020,
06021,66071
06022,
06023,89044
06024,82396
06025,102339
06026,89449
06027,81563
06028,100122
06029,79559
06030,97803
06031,85878
06032,97803
06033,102339
06034,97803
06035,99359
06037,96550
06039,71442
06040,61193
06041,73054
06042,73054
06043,91087
06045,73054
06050,30955
06051,30955
06052,63317
06053,48942
06057,96633
06058,74946
06059,
06060,131558
06061,
06062,61907
06063,106957
06064,82464
06065,95139
06066,61190
06067,81988
06068,71154
06069,82500
06070,110995
06071,94897
06072,94897
06073,153519
06074,100122
06075,66176
06076,66176
06077,66176
06078,97434
06079,71154
06080,97434
06081,71528
06082,71526
06083,71526
06084,109157
06085,94565
06087,94565
06088,67801
06089,98594
06090,143083
06091,
06092,139464
06093,107963
06094,61113
06095,82464
06096,66494
06098,61113
06101,24080
06102,34410
06103,83048
06104,24080
06105,31920
06106,28529
06107,117038
06108,46902
06109,78371
06110,64300
06111,80315
06112,36145
06114,34410
06115,31920
06117,118773
06118,52729
06119,80884
06120,24080
06123,83048
06126,31920
06127,117038
06128,28529
06129,78371
